loja,ano,semana,semana_inicio,receita
Loja_01,2025,2,2025-01-06,134837.12
Loja_01,2025,3,2025-01-13,92049.63
Loja_01,2025,4,2025-01-20,136104.75
Loja_01,2025,5,2025-01-27,131559.61
Loja_01,2025,6,2025-02-03,120393.23
Loja_01,2025,7,2025-02-10,141928.6
Loja_01,2025,8,2025-02-17,115497.64
Loja_01,2025,9,2025-02-24,98962.33
Loja_01,2025,10,2025-03-03,151399.82
Loja_01,2025,11,2025-03-10,117397.77
Loja_01,2025,12,2025-03-17,165015.61
Loja_01,2025,13,2025-03-24,129975.93
Loja_01,2025,14,2025-03-31,160266.11
Loja_01,2025,15,2025-04-07,102229.33
Loja_01,2025,16,2025-04-14,117990.03
Loja_01,2025,17,2025-04-21,141601.41
Loja_01,2025,18,2025-04-28,101927.14
Loja_01,2025,19,2025-05-05,99465.36
Loja_01,2025,20,2025-05-12,105383.87
Loja_01,2025,21,2025-05-19,139487.56
Loja_01,2025,22,2025-05-26,130234.92
Loja_01,2025,23,2025-06-02,131874.42
Loja_01,2025,24,2025-06-09,135189.24
Loja_01,2025,25,2025-06-16,123629.63
Loja_01,2025,26,2025-06-23,133379.63
Loja_01,2025,27,2025-06-30,135026.51
Loja_01,2025,28,2025-07-07,113163.6
Loja_01,2025,29,2025-07-14,115180.02
Loja_01,2025,30,2025-07-21,111364.8
Loja_01,2025,31,2025-07-28,100988.39
Loja_01,2025,32,2025-08-04,93966.9
Loja_01,2025,33,2025-08-11,112420.58
Loja_01,2025,34,2025-08-18,127648.5
Loja_01,2025,35,2025-08-25,120434.34
Loja_01,2025,36,2025-09-01,130761.45
Loja_01,2025,37,2025-09-08,119160.62
Loja_01,2025,38,2025-09-15,105446.59
Loja_01,2025,39,2025-09-22,106837.49
Loja_01,2025,40,2025-09-29,124900.64
Loja_01,2025,41,2025-10-06,123780.94
Loja_01,2025,42,2025-10-13,118065.32
Loja_01,2025,43,2025-10-20,150881.4
Loja_01,2025,44,2025-10-27,109679.48
Loja_01,2025,45,2025-11-03,122118.33
Loja_01,2025,46,2025-11-10,91240.4
Loja_01,2025,47,2025-11-17,115068.24
Loja_01,2025,48,2025-11-24,108582.49
Loja_01,2025,49,2025-12-01,84202.04
Loja_01,2025,50,2025-12-08,121094.85
Loja_01,2025,51,2025-12-15,106230.06
Loja_01,2025,52,2025-12-22,112645.12
Loja_01,2025,1,2025-12-29,118067.7
Loja_02,2025,2,2025-01-06,106665.06
Loja_02,2025,3,2025-01-13,101086.31
Loja_02,2025,4,2025-01-20,120294.06
Loja_02,2025,5,2025-01-27,119321.64
Loja_02,2025,6,2025-02-03,106571.81
Loja_02,2025,7,2025-02-10,107490.17
Loja_02,2025,8,2025-02-17,111192.46
Loja_02,2025,9,2025-02-24,131354.92
Loja_02,2025,10,2025-03-03,152538.13
Loja_02,2025,11,2025-03-10,129413.75
Loja_02,2025,12,2025-03-17,125967.75
Loja_02,2025,13,2025-03-24,133270.48
Loja_02,2025,14,2025-03-31,143779.71
Loja_02,2025,15,2025-04-07,152065.79
Loja_02,2025,16,2025-04-14,122897.8
Loja_02,2025,17,2025-04-21,112349.82
Loja_02,2025,18,2025-04-28,140766.3
Loja_02,2025,19,2025-05-05,120352.43
Loja_02,2025,20,2025-05-12,101445.61
Loja_02,2025,21,2025-05-19,133326.0
Loja_02,2025,22,2025-05-26,138938.29
Loja_02,2025,23,2025-06-02,110561.28
Loja_02,2025,24,2025-06-09,128612.99
Loja_02,2025,25,2025-06-16,117893.76
Loja_02,2025,26,2025-06-23,121355.61
Loja_02,2025,27,2025-06-30,131805.67
Loja_02,2025,28,2025-07-07,131646.87
Loja_02,2025,29,2025-07-14,108175.16
Loja_02,2025,30,2025-07-21,119739.99
Loja_02,2025,31,2025-07-28,109550.77
Loja_02,2025,32,2025-08-04,109778.47
Loja_02,2025,33,2025-08-11,85375.86
Loja_02,2025,34,2025-08-18,95532.88
Loja_02,2025,35,2025-08-25,110552.87
Loja_02,2025,36,2025-09-01,90542.21
Loja_02,2025,37,2025-09-08,80134.04
Loja_02,2025,38,2025-09-15,97645.9
Loja_02,2025,39,2025-09-22,90729.46
Loja_02,2025,40,2025-09-29,92586.18
Loja_02,2025,41,2025-10-06,105315.19
Loja_02,2025,42,2025-10-13,89849.42
Loja_02,2025,43,2025-10-20,113122.63
Loja_02,2025,44,2025-10-27,82968.45
Loja_02,2025,45,2025-11-03,92035.74
Loja_02,2025,46,2025-11-10,115620.75
Loja_02,2025,47,2025-11-17,117226.84
Loja_02,2025,48,2025-11-24,100042.06
Loja_02,2025,49,2025-12-01,96166.64
Loja_02,2025,50,2025-12-08,103703.18
Loja_02,2025,51,2025-12-15,101738.26
Loja_02,2025,52,2025-12-22,122754.74
Loja_02,2025,1,2025-12-29,103492.88
Loja_03,2025,2,2025-01-06,158848.66
Loja_03,2025,3,2025-01-13,176804.34
Loja_03,2025,4,2025-01-20,146950.83
Loja_03,2025,5,2025-01-27,170313.05
Loja_03,2025,6,2025-02-03,152719.99
Loja_03,2025,7,2025-02-10,180309.94
Loja_03,2025,8,2025-02-17,186433.67
Loja_03,2025,9,2025-02-24,202192.18
